name,var_name,var_value,region,type,carrier,tech
back-up-elec,flow_out_bus,131340.0829807836,,dispatchable,electricity,source
back-up-elec,invest_costs_out_bus,0.0,,dispatchable,electricity,source
back-up-elec,invest_out_bus,47.45649,,dispatchable,electricity,source
back-up-elec,summed_variable_costs_out_bus,11557.927302308955,,dispatchable,electricity,source
apv-system,flow_in_bus,43800.0,,,mimo,mimo
apv-system,flow_in_bus,29199.999708,,,mimo,mimo
apv-system,flow_in_energy,14600.000292,,,mimo,mimo
apv-system,flow_out_bus,72999.99970799996,,,mimo,mimo
apv-system,flow_out_bus,58400.00029200002,,,mimo,mimo
apv-system,flow_out_bus,87600.0,,,mimo,mimo
sun,flow_out_energy,14600.000292,,dispatchable,solar,source
sun,invest_costs_out_energy,0.0,,dispatchable,solar,source
sun,invest_out_energy,1.6666667,,dispatchable,solar,source
rain,flow_out_bus,43800.0,,volatile,water,rain
back-up-water,flow_out_bus,29199.999708,,dispatchable,water,source
back-up-water,invest_costs_out_bus,0.0,,dispatchable,water,source
back-up-water,invest_out_bus,3.3333333,,dispatchable,water,source
biomass-excess,flow_in_bus,72999.99970799996,,excess,,
demand,flow_in_bus,185424.009566056,,load,,
electricity-excess,flow_in_bus,4316.0733865843995,,excess,,
water-excess,flow_in_bus,87600.0,,excess,,
system,total_system_cost,11557.927302308955,,,,
