name,var_name,var_value,region,type,carrier,tech
battery-storage,flow_in_elec,0.0,,storage,electricity,battery
battery-storage,flow_out_elec,0.0,,storage,electricity,battery
battery-storage,invest,-0.0,,storage,electricity,battery
battery-storage,invest_costs,-0.0,,storage,electricity,battery
battery-storage,invest_costs_in_elec,-0.0,,storage,electricity,battery
battery-storage,invest_costs_out_elec,-0.0,,storage,electricity,battery
battery-storage,invest_in_elec,-0.0,,storage,electricity,battery
battery-storage,invest_out_elec,-0.0,,storage,electricity,battery
battery-storage,storage_losses,0.0,,storage,electricity,battery
inverter,flow_in_elec,0.0,,conversion,electricity,inverter
inverter,flow_out_elec,0.0,,conversion,electricity,inverter
inverter,invest_costs_out_elec,-0.0,,conversion,electricity,inverter
inverter,invest_out_elec,-0.0,,conversion,electricity,inverter
pv-panel,flow_in_bus,0.0,,conversion,electricity,pv_panel
pv-panel,flow_out_elec,0.0,,conversion,electricity,pv_panel
pv-panel,invest_costs_out_elec,-0.0,,conversion,electricity,pv_panel
pv-panel,invest_out_elec,-0.0,,conversion,electricity,pv_panel
solar-resource,flow_out_bus,0.0,,dispatchable,electricity,source
backup-electricity-grid,flow_out_elec,360.0,,dispatchable,electricity,source
backup-electricity-grid,invest_costs_out_elec,0.0,,dispatchable,electricity,source
backup-electricity-grid,invest_out_elec,180.0,,dispatchable,electricity,source
backup-electricity-grid,summed_variable_costs_out_elec,36000000.0,,dispatchable,electricity,source
mimo,flow_in_bus,133.33333299999998,,,water,mimo
mimo,flow_in_elec,240.0,,,water,mimo
mimo,flow_out_bus,73.333333,,,water,mimo
mimo,flow_out_bus,60.0,,,water,mimo
mimo,invest_costs_in_bus,5195.333359310001,,,water,mimo
mimo,invest_in_bus,66.666667,,,water,mimo
seawater-source,flow_out_bus,133.33333299999998,,dispatchable,water,source
seawater-source,invest_costs_out_bus,0.0,,dispatchable,water,source
seawater-source,invest_out_bus,66.666667,,dispatchable,water,source
water-storage,flow_in_bus,0.0,,storage,water,storage
water-storage,flow_out_bus,0.0,,storage,water,storage
water-storage,invest,-0.0,,storage,water,storage
water-storage,invest_costs,-0.0,,storage,water,storage
water-storage,invest_costs_in_bus,-0.0,,storage,water,storage
water-storage,invest_costs_out_bus,-0.0,,storage,water,storage
water-storage,invest_in_bus,-0.0,,storage,water,storage
water-storage,invest_out_bus,-0.0,,storage,water,storage
water-storage,storage_losses,0.0,,storage,water,storage
brine-excess,flow_in_bus,73.333333,,excess,,
permeate-demand,flow_in_bus,60.0,DE,load,,
elec-demand,flow_in_elec,120.0,DE,load,,
electricity-excess,flow_in_elec,0.0,,excess,,
system,total_system_cost,36005195.33335931,,,,
